source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,,,39,A ASY-03229-07;C0,1.0,BUY,,,,,Cart,,,,,,-,-
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C16-B1-PB16,,41,A MECH-02689-01;B,1.0,BUY,5.0,0.5,0.2,0.5,Bin,1,3340.0,100.0,4.0,0.029940119760479042,Stick onto part,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C23-B1-PB23,,44,A MECH-01200-02,1.0,BUY,5.0,0.5,0.2,0.5,Bin,1,3340.0,100.0,4.0,0.029940119760479042,Stick onto part,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C24-B2-PB24,,45,ASY-03152-06;A0,1.0,TURR - BRK - PEM,27.0,22.0,0.4,237.60000000000002,Bin,2,46.0,92.0,3.68,2.0,"SK41H 80x
MECH-01196-03","Rivet gun
Aatornillador
15 in/lbs"
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,2.0,4.0,C-14-B1-PB14,,46,MTL-02254-02;A1,2.0,TURR - BRK,17.1,1.8,0.7,21.546000000000003,Bin,1,78.0,200.0,4.0,2.5641025641025643,Place in fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,2.0,4.0,C-14-B1-PB14,,47,ASY-03143-06;A0,1.0,TURR - BRK - PEM,17.1,14.3,0.4,97.81200000000001,Bin,2,111.0,100.0,4.0,0.9009009009009009,SK41H x20,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,7.0,C21-B1-PB21,,51,MTL-02226-02;A0,1.0,LSR - BRK,17.0,0.7,0.8,9.52,Bin,1,176.0,100.0,4.0,0.5681818181818182,Place onto part,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,7.0,C22-B2-PB22,,51,ASY-05272-01;A0,1.0,TURR - PEM - BRK,18.9,15.3,0.5,144.585,Bin,2,75.0,76.0,3.04,1.0133333333333334,SK41H x4,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,7.0,C22-B2-PB22,,52,MTL-03975-01;A1,1.0,TURR - BRK,18.9,15.3,0.4,115.668,Bin,2,94.0,94.0,3.76,1.0,SK41H x22,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,7.0,C21-B1-PB21,,53,A GSKT-00349,1.0,,17.0,0.5,0.2,1.7000000000000002,Bin,1,983.0,100.0,4.0,0.1017293997965412,Stick onto part,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C25-B2-PB25,,55,ASY-04756-04;A0,1.0,TURR - BRK - PEM,27.5,13.4,1.0,368.5,Bin,2,30.0,60.0,2.4,2.0,"SK41H x41
SK42H x10",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C26-B2-PB26,,56,ASY-03156-03;A0,1.0,TURR - BRK - PEM,17.1,13.4,0.5,114.57000000000001,Bin,2,95.0,95.0,3.8,1.0,SK41H x9,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C26-B2-PB26,,57,ASY-03136-03;A0,1.0,TURR - BRK - PEM,17.3,15.0,0.4,103.80000000000001,Bin,2,104.0,100.0,4.0,0.9615384615384616,SK41H x26,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,C27-B2-PB27,,58,ASY-03137-03;A0,1.0,TURR - BRK - PEM,18.3,17.2,1.2,377.712,Bin,2,29.0,58.0,2.32,2.0,SK41H x36,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,4.0,8.0,,,59,MTL-02213-05;A0,1.0,TURR - BRK,35.8,27.5,0.8,787.5999999999999,Cart,,,,,,"SK41H x44
SKK3030PT x23
SK42H x24",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C28-B1-PB28,,60,MTL-02218-01;B0,1.0,TURR - OSP,21.0,0.7,0.1,1.47,Bin,1,1136.0,100.0,4.0,0.0880281690140845,FAS-05905,"Atornillador
6 in/lb"
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C28-B1-PB28,,61,A MECH-01754-04,8.0,BUY,1.2,0.7,0.6,0.504,Bin,1,3314.0,800.0,4.0,0.24140012070006034,"FAS-00532
15 in/lbs",Atornillador
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C28-B1-PB28,,62,A MECH-01253-01,1.0,BUY,4.0,0.5,0.1,0.2,Bin,1,8350.0,100.0,4.0,0.011976047904191617,Stick onto part,Manually
