source_file,sheet_name,process_sheet_number,end_item_part,parent_part,work_center,step_number,run_setup,operation_code,component_part,description,standard_rate,lead_time,crew_size
North face - Components matrix 1.xlsx,Assy WC,ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6BRK,00160,R,302,,DOBLADORA AMADA,35.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,13.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6N03,00110,R,104,,CORTE LASER AMADA,42.3,0.0,0.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6BRG,00130,R,303,,ESTAMPADO DE NUMERO DE,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6BRK,00150,R,302,,DOBLADORA AMADA,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6APEM,00170,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 P,ASY-03185-02;A0,ASY-53727-127;A0,6P250,00110,R,300,,TROQUELADO,325.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 P,ASY-03185-02;A0,ASY-53727-127;A0,6APEM,00210,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6N03,00110,R,104,,CORTE LASER AMADA,42.3,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6BRG,00130,R,303,,ESTAMPADO DE NUMERO DE,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6BRK,00150,R,302,,DOBLADORA AMADA,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6APEM,00170,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,120.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,12.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,00200,R,400,,INSERCION DE PEM,50.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6ASB,00210,R,801,,ENSAMBLE SEGUN DIBUJO,150.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,12.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6BRK,00160,R,302,,DOBLADORA AMADA,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,13.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6APEM,00200,R,400,,INSERCION DE PEM,30.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,55.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
