Process Sheet Number,EndItemPartNumber,Parent:,Work Center/Vendor,Description 1,Description 2,Step Number,Run/Setup,Operation Code,Component Part Number,Description 11,Description 21,Standard Rate,Lead Time,Crew Size,Overlap Step Number,Overlap Quantity
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00180,R,400  ,,INSERCION DE PEM,GPSS-M3-6-P (2X),80,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00200,R,400  ,,INSERCION DE PEM, TPS-3MM-10,150,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00220,R,400  ,,INSERCION DE PEM, SO-3.5M3-6ZI (5X),40,0,1,,0
ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6N042 ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA, CON ALIMENTADOR,60,0,1,,0
ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,20,0,1,,0
ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-0 (22X),20,0,1,,0
ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6N044 ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,18,0,1,,0
ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,12,0,1,,0
ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-1 (11X),20,0,1,,0
ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6N04 ,JCG 10 28 20,,00110,R,102  ,,PUNZONADO EN TORRETA,,26,0,1,,0
ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6DBR  ,JCG 10 28 20,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,60,0,1,,0
ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6BRK  ,JCG 10 28 20,,00140,R,302  ,,DOBLADORA AMADA,,15.15,0,1,,0
ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6APEM ,JCG 10 28 20,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-0 (22X),5.62,0,1,,0
ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6N03  ,JCG 11 11 19,,00110,R,104  ,,CORTE LASER AMADA,,114,0,1,,0
ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6DBR  ,JCG 11 11 19,,00120,R,200  ,,REBABEO DE FILOS,,120,0,1,,0
ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6BRG  ,JCG 11 11 19,,00140,R,303  ,,ESTAMPADO NO PARTE,,250,0,1,,0
ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6BRK  ,JCG 11 11 19,,00160,R,302  ,,DOBLADORA AMADA,,105,0,1,,0
ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6APEM ,JCG 11 11 19,,00180,R,400  ,,INSERCION DE PEM,CLS-M3-1 (8X),40,0,1,,0
ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6N04  ,JCG 10 18 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,24,0,1,,0
ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6DBR ,JCG 10 18 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,60,0,1,,0
ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6BRK ,JCG 10 18 19,,00140,R,302  ,,DOBLADORA AMADA,,40,0,1,,0
ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6BRK ,JCG 10 18 19,,00160,R,302  ,,DOBLADORA AMADA,,35,0,1,,0
ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6APEM ,JCG 10 18 19,,00180,R,400  ,,INSERCION DE PEM,CLS-M3-1,13,0,1,,0
ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6N03  ,KSS 01 24 19,  KSS 03 13 19,00110,R,104  ,,CORTE LASER AMADA,,42.3,0,0,,0
ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6BRG  ,KSS 01 24 19,  KSS 03 13 19,00130,R,303  ,,ESTAMPADO DE NUMERO DE, PARTE,250,0,1,,0
ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6BRK  ,KSS 01 24 19,  KSS 03 13 19,00150,R,302  ,,DOBLADORA AMADA,,40,0,1,,0
ASY-03185-02;A0,ASY-03185-02;A0,ASY-53727-127;A0,6APEM ,KSS 01 24 19,  KSS 03 13 19,00170,R,400  ,,INSERCION DE PEM,CLS-M3-1 (7X),15,0,1,,0
ASY-03185-02;A0 P,ASY-03185-02;A0,ASY-53727-127;A0,6P250 , ERD 08 24 2022,,00110,R,300  ,,TROQUELADO,,325,0,1,,0
ASY-03185-02;A0 P,ASY-03185-02;A0,ASY-53727-127;A0,6APEM , ERD 08 24 2022,,00210,R,400  ,,INSERCION DE PEM,CLS-M3-1 (7X),15,0,1,,0
ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6N03 ,JCG 11 01 22,,00110,R,104  ,,CORTE LASER AMADA,,42.3,0,1,,0
ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6BRG ,JCG 11 01 22,,00130,R,303  ,,ESTAMPADO DE NUMERO DE, PARTE,250,0,1,,0
ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6BRK ,JCG 11 01 22,,00150,R,302  ,,DOBLADORA AMADA,,40,0,1,,0
