,,,,,,,,,,,
Weekly demand:,400,,,,,,,,,,
,,,,Primary operations:,,,Brake - Pem,,,Press:,
Area:,Hours available:,Leadtime:,,Workcenter:,∑ Hours:,,Workcenter:,∑ Hours:,,Workcenter:,∑ Hours:
Primary ops:,378,719.3094187431693,,6N02,7.017543859649122,,BR130,25,,6P200,9.333333333333334
Midfield:,1134,2099.2743459783487,,6N03,90.64888298461472,,BRK80,62.5,,6P20C,35.692307692307686
Press,126,117.02325744431006,,6N04,248.6808012941662,,RG100,35.666666666666664,,6P250,32.11483253588517
,,,,6N041,43.528190790867114,,6BATC,27.764705882352942,,6P25C,26.549450549450547
Area:,Machines:,,,6N042,229.7429718875502,,6BRG,12.8,,6MACH,13.333333333333334
Primary ops:,3,,,6N043,26.666666666666668,,6BRK,569.6515023918247,,,
Midfield:,9,,,6N044,22.22222222222222,,6APEM,1028.8914710375043,,Midfield:,
Press,1,,,6N045,50.80213903743316,,6DBR,318.66666666666663,,6SLK,18.333333333333336
,,,,,,,,,,,
Process Sheet Number,End Item Part Number,Quantity:,Work Center/Vendor,Step Number,Run/Setup,Description 11,Standard Rate,Lead Time,Crew Size,1W batch hours:,
ASY-04181-02;A0,ASY-04181-02;A0,1,6P200,00130,R,RUN PIERCE/BLANK DIE,300,0,1,1.3333333333333333,
ASY-04181-02;A0,ASY-04181-02;A0,1,6BRK,00150,R,DOBLADORA AMADA,45,0,1,8.88888888888889,
ASY-04181-02;A0,ASY-04181-02;A0,1,6APEM,00170,R,INSERCION DE PEM,67,0,1,5.970149253731344,
ASY-04183-01;A0,ASY-04183-01;A0,1,6N03,00110,R,CORTE LASER AMADA,34,0,1,11.764705882352942,
ASY-04183-01;A0,ASY-04183-01;A0,1,6APEM,00130,R,INSERCION DE PEM,30,0,1,13.333333333333334,
ASY-04183-01;A0,ASY-04183-01;A0,1,6BRG,00150,R,ESTAMPADO DE NUMERO DE,250,0,1,1.6,
ASY-04183-01;A0,ASY-04183-01;A0,1,6BRK,00170,R,DOBLADORA AMADA,80,0,1,5,
ASY-04183-01;A0,ASY-04183-01;A0,1,6APEM,00190,R,INSERCION DE PEM,15,0,1,26.666666666666668,
ASY-04184-02;A0,ASY-04184-02;A0,2,6N04,00110,R,PUNZONADO EN TORRETA,127,0,1,6.299212598425197,
ASY-04184-02;A0,ASY-04184-02;A0,2,6BRK,00150,R,DOBLADORA AMADA,35,0,1,22.857142857142858,
ASY-04184-02;A0,ASY-04184-02;A0,2,6APEM,00170,R,INSERCION DE PEM,18,0,1,44.44444444444444,
ASY-04192-06;B0,ASY-04192-06;B0,1,6AARI,00100,R,ENSAMBLE SEGUN DIBUJO,2,0,2,400,
ASY-04756-04;A0,ASY-04756-04;A0,1,6N042,00110,R,PUNZONADO EN TORRETA,16,0,1,25,
ASY-04756-04;A0,ASY-04756-04;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,30,0,1,13.333333333333334,
ASY-04756-04;A0,ASY-04756-04;A0,1,6BRK,00140,R,DOBLADORA AMADA,44,0,1,9.090909090909092,
ASY-04756-04;A0,ASY-04756-04;A0,1,6APEM,00160,R,INSERCION DE PEM,55,0,1,7.2727272727272725,
ASY-04756-04;A0,ASY-04756-04;A0,1,6APEM,00180,R,INSERCION DE PEM,15,0,1,26.666666666666668,
ASY-04756-04;A0,ASY-04756-04;A0,1,6SLK,00190,R,SERIGRAFIA DE ACUERDO,60,0,1,6.666666666666667,
ASY-04757-04;A0,ASY-04757-04;A0,1,6N042,00110,R,PUNZONADO EN TORRETA,16,0,1,25,
ASY-04757-04;A0,ASY-04757-04;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,30,0,1,13.333333333333334,
ASY-04757-04;A0,ASY-04757-04;A0,1,6BRK,00140,R,DOBLADORA AMADA,44,0,1,9.090909090909092,
ASY-04757-04;A0,ASY-04757-04;A0,1,6APEM,00160,R,INSERCION DE PEM,55,0,1,7.2727272727272725,
ASY-04757-04;A0,ASY-04757-04;A0,1,6APEM,00180,R,INSERCION DE PEM,15,0,1,26.666666666666668,
ASY-04757-04;A0,ASY-04757-04;A0,1,6SLK,00190,R,SERIGRAFIA DE ACUERDO,60,0,1,6.666666666666667,
ASY-04776-01;B0,ASY-04776-01;B0,1,6SLK,00100,R,SERIGRAFIA DE ACUERDO,80,0,1,5,
ASY-04780-05;B0,ASY-04780-05;B0,1,6APEM,00110,R,INSTALACION DE REMACHE,1.78,0,1,224.7191011235955,
ASY-04780-05;B0,ASY-04780-05;B0,1,6AARI,00120,R,ENSAMBLE SEGUN DIBUJO,37.5,0,1,10.666666666666666,
ASY-05257-01;A0,ASY-05257-01;A0,1,6N043,00110,R,PUNZONADO EN TORRETA,30,0,1,13.333333333333334,
ASY-05257-01;A0,ASY-05257-01;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-05257-01;A0,ASY-05257-01;A0,1,6BRK,00140,R,DOBLADORA AMADA,40,0,1,10,
ASY-05257-01;A0,ASY-05257-01;A0,1,6APEM,00160,R,INSERCION DE PEM,45,0,1,8.88888888888889,
ASY-05258-01;A0,ASY-05258-01;A0,1,6N043,00110,R,PUNZONADO EN TORRETA,30,0,1,13.333333333333334,
ASY-05258-01;A0,ASY-05258-01;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
