,Weekly demand:,50,,,,,,,,,,,,,,,,,,,,,,,
,Part:,Operator:,Station:,SOP Step:,Sub-component:,Quantity:,Process route:,Image:,Cosmetic class:,Widht:,Depth:,Height:,Volume:,Part size class:,Container type:,Cointainer capacity:,Batch size in days:,Required bins,Cart ID:,Bin:,,,Size:,Criteria:,PN Classified:
,"ASY-04524-07;A0
SUB-ASSY",,,25,ASY-05342-02;A0,1,TUR-BRK-PEM,,,8.71,8.61,11.41,855.671271,Medium,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,26,MTL-02226-02;A0,1,PRE-OSP,,,16.92,0.74,0.76,9.515808000000002,Small,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,26,ASY-04512-03;A0,1,TUR-DBR-PEM-BRK,,,18.9,14.82,0.43,120.44213999999998,Medium,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,27,MTL-03401-02;A0,1,TUR-DBR-BRK,,,18.79,14.76,0.35,97.06913999999999,Medium,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,28,MTL-04466-01;A0,3,TUR-BRK,,,11.83,1.29,0.35,5.341245,Small,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,28,ASY-04523-03;A0,1,TUR-DBR-BRK-PEM,,,17.17,13.63,0.47,109.99273700000002,Medium,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,29,MTL-04466-01;A0,3,TUR-BRK,,,11.83,1.29,0.35,5.341245,Small,,,,,,,,,,,
,"ASY-04524-07;A0
SUB-ASSY",,,29,ASY-04571-02;A0,1,TUR-DBR-BRK-PEM,,,23.02,17.24,0.59,234.15023199999996,Big,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
