,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punzonado,,Corte Laser,Estampado,,,,Rebabeo Manual,Machueleado,Externo,,,,Maquinado,"Rebabeo 
Por Vibracion",Inspeccion,Estampado Térmico,Insercion PEM,"Doblado 
Amada",,,Externo,,,,"Lijado 
(Time saver)","Rebabeo 
Por Vibracion",Insercion PEM,Soldadura,,,,,Rebabeo Manual,Inspeccion,"Prep Pintura 
(Enmascarillado)",Pintura,,Estampado,,,,Insercion PEM,Serigrafía,Subensamble,Ensamble Final,,,,,,,,,INSPECCION,Ensamble Final,,,,,,,,,,,,,,,TOTAL PROCESOS (38),
,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torreta,Combo,,110,200,250,300,,,,,,,,,,,,BRK,ATC,RG,,,,,,,,Perno,MicroAlam,Punto,TIG,Robot,,,,PNT,SEMI,110,200,250,300,,,Empty,Amphenol,Arista,Friedrich,Hyperscale,Linecards,Sanmina,AFL ASCN,AFL NO/ASCND,Otros Ensam,,335 - 224,223 - 156,155 - 124,123 - 98,97 - 70,69 - 49,48 - 35,34 - 23,22 - 15,14 - 10, '9 - 6,´5 - 3,2 - 0.25,,,# Procesos,Total Work Content
AMAT,AMAT,0041-81685;02,"BRACKET, MACNETIC SW M",10,1940,194,17,0,0,0,3.0,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,970.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , , , , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,7,
AMAT,AMAT,0041-81686;02,"BRACKET, MACNETIC SW M",10,970,97,9,0,0,0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , , , , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,7,
AMAT,AMAT,0041-83309;01,"PLATE,BOTTOM,W/EXHAUST",40.41,808.1999999999999,20,2,0,0,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,808.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X, , , ,,,,, ,, , , , , , , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,6,
AMAT,AMAT,0041-99611;03,PALLET GAS STICKS NAPA,59.58,2800.2599999999998,47,4,0,0,0,0.0,3.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,178.74,1310.76,1310.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , ,,, , , , , , , , , ,,,,, ,, , , , ,X, , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,5,
AMAT,AMAT,0042-06060;03,REAR HEATER PANEL NAPA,44.23,1105.75,25,3,2211.5,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.75,1105.75,1105.75,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , , , , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,7,
AMAT,AMAT,0042-16783;04,ENCLOSURE RIVETED SYM3,420.07,42007,100,9,0,0,0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,21003.5,21003.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,X, , , , , , , , ,,, ,X, , , ,X,X, , ,,,,, ,, , , , , , , , ,X,X, ,,,,, ,X, , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,9,
AMAT,AMAT,0042-32661;05,"REMOVABLE UPPER BAR, C",744.82,2234.46,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2234.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, ,X, , , , ,X, , ,,,,, ,,X, , , ,X, , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,9,
AMAT,AMAT,0042-32991;05,"REMOVABLE UPPER BAR, C",753.18,2259.54,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2259.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , ,X, , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,8,
AMAT,ICHOR,0022-12699;05,"PLATE,BOTTOM,W/EXHAUST",4.07,1005.2900000000001,247,21,0,0,0,3.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.21,1005.2900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , , ,X, , ,,,,, ,, , , , , , , , ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,6,
ARIS,ARIS MISC,ASY-06327-02;A0,"ASY,DNL,FC,FAN,PCB,STI",69.56,66012.44,949,80,0,0,0,0.0,476.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24856.72,24700.059999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,X, , , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , , , , , , , , ,,,,, , , , ,X, , , , , , , ,X, , , , , , , , , , , , , ,,,6,
